year,month,day,sum_sale_dollars
2016,8,11,1408534.44
2016,8,12,624978.97
2016,8,15,1348383.14
2016,8,16,963675.66
2016,8,17,1224536.63
2016,8,18,1237149.25
2016,8,19,563531.92
2016,8,22,1365489.10
2016,8,23,928483.84
2016,8,24,1217445.49
2016,8,25,1158976.72
2016,8,26,572927.78
2016,8,29,720285.75
2016,8,30,668527.93
2016,8,31,964097.24
2016,9,1,1486839.65
2016,9,2,561684.18
2016,9,3,1108823.47
2016,9,6,1139882.45
2016,9,7,1482158.96
2016,9,8,1559446.47
2016,9,9,628081.90
2016,9,12,1339826.81
2016,9,13,1382181.13
2016,9,14,1282949.31
2016,9,15,1880725.08
2016,9,16,1156249.98
2016,9,19,1337096.87
